"species";"lon";"lat";"municipality";"adm1"
"129";"Euterpe edulis";-43.518222;-19.236028;"Santana do Riacho";"Minas Gerais"
"130";"Euterpe edulis";-47.3903;-22.1856;"Leme";"São Paulo"
"132";"Euterpe edulis";-47.922847;-25.072889;"Cananéia";"São Paulo"
"133";"Euterpe edulis";-40.814444;-18.875556;"Águia Branca";"Espírito Santo"
"134";"Euterpe edulis";-53.029694;-24.156722;"Goioerê";"Pr"
"135";"Euterpe edulis";-49.300278;-28.713889;"Içara";"Santa Catarina"
"138";"Euterpe edulis";-39.9325;-19.135278;"Linhares";"Espírito Santo"
"139";"Euterpe edulis";-40.465556;-19.288056;"Governador Lindenberg";"Espírito Santo"
"140";"Euterpe edulis";-40.551111;-19.348333;"Marilândia";"Espírito Santo"
"141";"Euterpe edulis";-40.468333;-20.339167;"Santa Leopoldina";"Espírito Santo"
"144";"Euterpe edulis";-40.73;-18.892222;"Águia Branca";"Espírito Santo"
"148";"Euterpe edulis";-40.73;-18.892222;"Águia Branca";"Espírito Santo"
"150";"Euterpe edulis";-55.915556;-9.640556;"Alta Floresta";"Mato Grosso"
"152";"Euterpe edulis";-55.915556;-9.640556;"Alta Floresta";"Mato Grosso"
"153";"Euterpe edulis";-40.463333;-19.275833;"Governador Lindenberg";"Espírito Santo"
"158";"Euterpe edulis";-45.070833;-23.434167;"Ubatuba";"São Paulo"
"159";"Euterpe edulis";-47.922847;-25.072889;"Cananéia";"São Paulo"
"160";"Euterpe edulis";-48.193056;-15.388889;"Padre Bernardo";"Goiás"
"167";"Euterpe edulis";-39.090278;-13.328889;"Valença";"Bahia"
"168";"Euterpe edulis";-48.183333;-23.0333;"Bofete";"São Paulo"
"169";"Euterpe edulis";-39.471667;-12.869444;"Santa Teresinha";"Bahia"
"170";"Euterpe edulis";-39.471667;-12.869444;"Santa Terezinha";"Bahia"
"171";"Euterpe edulis";-43.891667;-21.7;"Lima Duarte";"Minas Gerais"
"172";"Euterpe edulis";-51.906944;-19.575333;"Inocência";"Mato Grosso do Sul"
"173";"Euterpe edulis";-40.676944;-20.096389;"Santa Maria de Jetibá";"Espírito Santo"
"176";"Euterpe edulis";-46.716667;-23.55;"São Paulo";"São Paulo"
"178";"Euterpe edulis";-50.975556;-23.540833;"Londrina";"Paraná"
